회차,추첨일,번호1,번호2,번호3,번호4,번호5,번호6
1024,2022.07.16,8,12,16,21,27,31
1023,2022.07.09,1,10,16,17,28,40
1022,2022.07.02,14,26,29,30,31,42
1021,2022.06.25,9,13,23,26,32,44
1020,2022.06.18,4,18,20,26,27,43
1019,2022.06.11,13,18,20,22,33,44
1018,2022.06.04,14,20,22,27,30,44
1017,2022.05.28,4,10,14,16,29,39
1016,2022.05.21,8,13,19,27,40,45
1015,2022.05.14,4,5,20,27,32,39
1014,2022.05.07,1,5,13,26,35,42
1013,2022.04.30,2,10,25,27,38,43
1012,2022.04.23,8,11,16,19,23,30
1011,2022.04.16,2,11,19,25,26,36
1010,2022.04.09,11,23,27,36,37,42
1009,2022.04.02,1,11,22,23,26,31
1008,2022.03.26,10,20,24,30,39,43
1007,2022.03.19,3,10,24,33,39,41
1006,2022.03.12,12,18,22,23,30,32
1005,2022.03.05,14,18,22,26,29,44
1004,2022.02.26,5,7,12,16,29,35
1003,2022.02.19,12,13,23,26,33,44
1002,2022.02.12,12,14,25,29,34,45
1001,2022.02.05,13,14,18,20,25,41
1000,2022.01.29,6,11,15,26,32,42
